LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-06,02:59:00,69
2016-06-06,03:14:00,77
2016-06-06,03:29:00,59
2016-06-06,03:44:00,70
2016-06-06,03:59:00,39
2016-06-06,04:14:00,112
2016-06-06,04:29:00,100
2016-06-06,04:44:00,147
2016-06-06,04:59:00,173
2016-06-06,05:14:00,236
2016-06-06,05:29:00,299
2016-06-06,05:44:00,420
2016-06-06,05:59:00,515
2016-06-06,06:14:00,619
2016-06-06,06:29:00,563
2016-06-06,06:44:00,572
2016-06-06,06:59:00,545
2016-06-06,07:14:00,598
2016-06-06,07:29:00,533
2016-06-06,07:44:00,517
2016-06-06,07:59:00,519
2016-06-06,08:14:00,573
2016-06-06,08:29:00,588
2016-06-06,08:44:00,487
2016-06-06,08:59:00,457
2016-06-06,09:14:00,430
2016-06-06,09:29:00,496
2016-06-06,09:44:00,463
2016-06-06,09:59:00,383
2016-06-06,10:14:00,408
2016-06-06,10:29:00,345
2016-06-06,10:44:00,402
2016-06-06,10:59:00,392
2016-06-06,11:14:00,430
2016-06-06,11:29:00,351
2016-06-06,11:44:00,361
2016-06-06,11:59:00,349
2016-06-06,12:14:00,348
2016-06-06,12:29:00,410
2016-06-06,12:44:00,427
2016-06-06,12:59:00,385
2016-06-06,13:14:00,379
2016-06-06,13:29:00,438
2016-06-06,13:44:00,485
2016-06-06,13:59:00,467
2016-06-06,14:14:00,507
2016-06-06,14:29:00,442
2016-06-06,14:44:00,425
2016-06-06,14:59:00,410
2016-06-06,15:14:00,498
2016-06-06,15:29:00,537
2016-06-06,15:44:00,518
2016-06-06,15:59:00,513
2016-06-06,16:14:00,623
2016-06-06,16:29:00,610
2016-06-06,16:44:00,654
2016-06-06,16:59:00,624
2016-06-06,17:14:00,676
2016-06-06,17:29:00,783
2016-06-06,17:44:00,747
2016-06-06,17:59:00,799
2016-06-06,18:14:00,648
2016-06-06,18:29:00,600
2016-06-06,18:44:00,584
2016-06-06,18:59:00,505
2016-06-06,19:14:00,460
2016-06-06,19:29:00,428
2016-06-06,19:44:00,377
2016-06-06,19:59:00,357
2016-06-06,20:14:00,383
2016-06-06,20:29:00,317
2016-06-06,20:44:00,326
2016-06-06,20:59:00,272
2016-06-06,21:14:00,298
2016-06-06,21:29:00,269
2016-06-06,21:44:00,295
2016-06-06,21:59:00,232
2016-06-06,22:14:00,258
2016-06-06,22:29:00,196
2016-06-06,22:44:00,214
2016-06-06,22:59:00,204
2016-06-06,23:14:00,161
2016-06-06,23:29:00,167
2016-06-06,23:44:00,178
2016-06-06,23:59:00,150
2016-06-07,00:14:00,155
2016-06-07,00:29:00,157
2016-06-07,00:44:00,97
2016-06-07,00:59:00,93
2016-06-07,01:14:00,101
2016-06-07,01:29:00,72
2016-06-07,01:44:00,80
2016-06-07,01:59:00,78
2016-06-07,02:14:00,92
2016-06-07,02:29:00,97
2016-06-07,02:44:00,101
2016-06-07,02:59:00,69
2016-06-07,03:14:00,57
2016-06-07,03:29:00,46
2016-06-07,03:44:00,61
2016-06-07,03:59:00,53
2016-06-07,04:14:00,102
2016-06-07,04:29:00,79
2016-06-07,04:44:00,118
2016-06-07,04:59:00,197
2016-06-07,05:14:00,207
2016-06-07,05:29:00,312
2016-06-07,05:44:00,403
2016-06-07,05:59:00,527
2016-06-07,06:14:00,620
2016-06-07,06:29:00,592
2016-06-07,06:44:00,548
2016-06-07,06:59:00,518
2016-06-07,07:14:00,584
2016-06-07,07:29:00,591
2016-06-07,07:44:00,587
2016-06-07,07:59:00,559
2016-06-07,08:14:00,597
2016-06-07,08:29:00,517
2016-06-07,08:44:00,530
2016-06-07,08:59:00,470
2016-06-07,09:14:00,526
2016-06-07,09:29:00,521
2016-06-07,09:44:00,436
2016-06-07,09:59:00,399
2016-06-07,10:14:00,382
2016-06-07,10:29:00,378
2016-06-07,10:44:00,347
2016-06-07,10:59:00,352
2016-06-07,11:14:00,348
2016-06-07,11:29:00,362
2016-06-07,11:44:00,341
2016-06-07,11:59:00,359
2016-06-07,12:14:00,386
2016-06-07,12:29:00,405
2016-06-07,12:44:00,391
2016-06-07,12:59:00,384
2016-06-07,13:14:00,439
2016-06-07,13:29:00,440
2016-06-07,13:44:00,446
2016-06-07,13:59:00,430
2016-06-07,14:14:00,464
2016-06-07,14:29:00,483
2016-06-07,14:44:00,445
2016-06-07,14:59:00,461
2016-06-07,15:14:00,509
2016-06-07,15:29:00,525
2016-06-07,15:44:00,491
2016-06-07,15:59:00,498
2016-06-07,16:14:00,580
2016-06-07,16:29:00,437
2016-06-07,16:44:00,622
2016-06-07,16:59:00,574
2016-06-07,17:14:00,709
2016-06-07,17:29:00,708
2016-06-07,17:44:00,687
2016-06-07,17:59:00,712
2016-06-07,18:14:00,621
2016-06-07,18:29:00,610
